Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,StressGT,GT
9:38:24,37.5,25,37.5,0,0,0,100,0,83.42,0
9:38:24,50,25,25,0,0,0,100,0,90.25,0
9:38:24,50,12.5,37.5,0,0,0,100,0,97.36,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,90.5,0
9:38:24,50,12.5,37.5,0,0,0,100,0,84.05,0
9:38:24,50,0,50,0,0,0,100,0,85.7,0
9:38:24,50,0,50,0,0,0,100,0,79.93,0
9:38:24,50,25,25,0,0,0,87.5,12.5,77.89,0
9:38:24,50,50,0,0,0,0,87.5,12.5,86.57,0
9:38:24,50,50,0,0,0,0,100,0,85.3,0
9:38:24,37.5,37.5,25,0,0,0,100,0,79.32,0
9:38:24,37.5,37.5,25,0,0,0,100,0,81.51,0
9:38:24,50,37.5,12.5,0,0,0,100,0,77.62,0
9:38:24,50,25,25,0,0,0,100,0,86.36,0
9:38:24,50,25,25,0,0,0,100,0,77.28,0
9:38:24,50,0,50,0,0,0,100,0,79.75,0
9:38:24,50,0,50,0,0,0,87.5,12.5,78.87,0
9:38:24,50,0,37.5,12.5,0,0,100,0,96.8,0
9:38:24,50,0,50,0,0,0,100,0,86.94,0
9:38:24,50,0,50,0,0,0,100,0,98,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,88.36,0
9:38:24,37.5,62.5,0,0,0,0,100,0,86.59,0
9:38:24,50,50,0,0,0,0,100,0,80.12,0
9:38:24,50,50,0,0,0,0,100,0,79.39,0
9:38:24,50,50,0,0,0,0,87.5,12.5,99.7,0
9:38:24,50,50,0,0,0,0,100,0,85.37,0
9:38:25,50,50,0,0,0,0,100,0,97.93,0
9:38:25,50,50,0,0,0,0,100,0,94.42,0
9:38:25,50,50,0,0,0,0,100,0,84.86,0
9:38:25,50,12.5,37.5,0,0,0,87.5,12.5,94.69,0
9:38:25,50,50,0,0,0,0,75,25,80.09,0
9:38:25,50,12.5,25,12.5,0,0,100,0,84.88,0
9:38:25,37.5,37.5,12.5,12.5,0,0,100,0,96.84,0
9:38:25,50,50,0,0,0,0,100,0,86.04,0
9:38:25,37.5,50,12.5,0,0,0,75,25,88.26,0
9:38:25,50,37.5,12.5,0,0,0,100,0,88.14,0
9:38:25,25,62.5,12.5,0,0,0,87.5,12.5,89.48,0
9:38:25,50,0,50,0,0,0,87.5,12.5,86.4,0
9:38:25,37.5,25,37.5,0,0,0,100,0,89.06,0
9:38:25,50,0,50,0,0,0,87.5,12.5,85.52,0
9:38:25,50,12.5,37.5,0,0,0,100,0,81.77,0
9:38:25,50,12.5,37.5,0,0,0,100,0,83.58,0
9:38:25,50,25,25,0,0,0,100,0,96.35,0
9:38:25,50,37.5,12.5,0,0,0,100,0,91.93,0
9:38:25,50,0,50,0,0,0,100,0,96.08,0
9:38:25,37.5,0,50,12.5,0,0,100,0,87.78,0
